Symbol,Company Name,Market cap,Beta,P/E,Price,Volume,Annual Return,Cluster
SAMBHAAV.NS,Sambhaav Media Limited,888666150,0.614,65.71,4.65,152985,1.125,0
SYRMA.NS,Syrma SGS Technology Limited,77808902802,1.3686587,75.27,438.15,1710763,0.7958,1
GRAVITA.NS,Gravita India Limited,73169818315,0.846,31.04,1059.85,225396,1.1015,1
HGS.NS,Hinduja Global Solutions Limited,36862685720,0.631,29.5,792.4,21005,-0.2625,1
SOMANYCERA.NS,Somany Ceramics Limited,29377029220,1.108,31.55,716.45,42997,0.1838,1
SKYGOLD.NS,Sky Gold Limited,15978624120,-0.233,34.94,1207.1,35501,2.4247,0
DLINKINDIA.NS,D-Link (India) Limited,14633303320,0.606,16.08,412.15,354850,0.2427,0
ZEELEARN.NS,Zee Learn Limited,2347869600,0.686,1.46,7.2,195655,0.8636,1
ASHIANA.NS,Ashiana Housing Limited,35324485000,0.663,44.24,351.4,95384,0.6307,1
VINDHYATEL.NS,Vindhya Telelinks Limited,25136351445,1.101,9.11,2121.05,23566,0.2975,1
JYOTISTRUC.NS,Jyoti Structures Limited,21258447349,0.419,61.75,24.1,3460284,2.9866,0
HITECHGEAR.NS,The Hi-Tech Gears Limited,16711659090,1.443,15.39,889.95,18182,2.0737,1
RADHIKAJWE.NS,Radhika Jeweltech Limited,6773200000,-0.204,14.38,57.4,509249,1.2828,0
UMAEXPORTS.NS,Uma Exports Limited,3046265683,0.483,29.39,90.1,30022,1.4311,0
RICOAUTO.NS,Rico Auto Industries Limited,16721226000,0.996,44.84,123.6,1791821,1.1168,1
KIRIINDUS.NS,Kiri Industries Limited,15283313870,0.548,12.06,294.85,128030,0.0561,0
CSLFINANCE.NS,CSL Finance Limited,9237205170,0.565,14.67,405.45,25914,1.2997,0
AUTOIND.NS,Autoline Industries Limited,4488560640,0.598,29.76,115.2,139842,0.5787,0
ORIENTELEC.NS,Orient Electric Limited,49564921800,0.15,66.77,232.3,1463298,-0.2852,0
KSL.NS,Kalyani Steels Limited,34123628270,1.005,14.41,781.7,53623,1.9712,1
JAYBARMARU.NS,Jay Bharat Maruti Limited,11193050000,0.899,35.44,103.4,228013,1.283,1
VIKASLIFE.NS,Vikas Lifecare Limited,8210726377,1.183,61.88,4.75,18203053,0.4265,1
SOMATEX.NS,Soma Textiles & Industries Limited,1106605500,-0.457,5.39,33.5,26432,-0.0943,0
OMKARCHEM.NS,Omkar Speciality Chemicals Limited,134785900,-0.005,-1.03,6.55,26071,-0.3661,0
ZFCVINDIA.NS,ZF Commercial Vehicle Control Systems India Limited,318722066600,-0.032,80.76,16803.5,5149,0.49,0
MCX.NS,Multi Commodity Exchange of India Limited,178874229349,0.344,219.15,3507.45,1063612,1.2458,0
GLS.NS,Glenmark Life Sciences Limited,102506088200,0.128,22.03,836.6,62582,1.1583,0
SHREDIGCEM.NS,Shree Digvijay Cement Company Ltd.,15109217500,0.36,17.55,102.5,1143570,0.6205,0
KELLTONTEC.NS,Kellton Tech Solutions Limited,9102179520,1.831,14.74,93.45,755584,1.323,1
SALONA.NS,Salona Cotspin Limited,1504257040,0.503,18.25,285.85,4393,0.3811,0
PALREDTEC.NS,Palred Technologies Limited,1224483260,0.965,-37.45,100.1,25371,-0.1053,1
KPIGREEN.NS,KPI Green Energy Limited,101425474500,1.013,62.78,1682.5,475818,4.3594,1
AGARIND.NS,Agarwal Industrial Corporation Limited,13036470590,0.649,12.49,871.55,45927,0.4732,1
SALZERELEC.NS,Salzer Electronics Limited,12015791375,0.579,27.72,691.25,169865,2.4141,0
KHADIM.NS,Khadim India Limited,5499135500,0.696,90.36,303.25,22200,0.6719,1
VARDHACRLC.NS,Vardhman Acrylics Limited,4251245020,0.134,24.5,52.9,47073,0.1915,0
JMA.NS,Jullundur Motor Agency (Delhi) Limited,2140211070,0.187,8.64,93.7,23989,0.6423,0
MIRZAINT.NS,Mirza International Limited,5797573900,0.063,49.48,41.95,199743,0.1823,0
JETAIRWAYS.NS,Jet Airways (India) Limited,4975548600,1.167,-0.76,43.8,24997,-0.1638,1
SITINET.NS,SITI Networks Limited,566834450,1.208,-0.18,0.65,1581693,-0.5,1
APOLLO.NS,Apollo Micro Systems Limited,30346479510,1.226,92.11,102.0,1589617,2.4428,1
VADILALIND.NS,Vadilal Industries Limited,30127430054,0.343,21.55,4191.45,32808,0.9398,0
DNAMEDIA.NS,Diligent Media Corporation Limited,535571400,0.219,0.48,4.55,214848,1.0667,0
INDHOTEL.NS,The Indian Hotels Company Limited,815483047000,0.42,65.2,572.9,6437498,0.8499,0
AJANTPHARM.NS,Ajanta Pharma Limited,292905799200,0.018,35.66,2326.2,106369,0.8657,0
ATUL.NS,Atul Ltd,171286504040,0.371,52.96,5817.8,42396,-0.1811,0
REPCOHOME.NS,Repco Home Finance Limited,28831421190,1.231,7.41,460.85,218769,1.1924,1
YAARI.NS,Yaari Digital Integrated Services Limited,1016483032,1.173,-4.84,10.3,30607,-0.1106,1
IMFA.NS,Indian Metals and Ferro Alloys Limited,37260701460,0.588,9.96,690.6,340836,1.3462,0
DCXINDIA.NS,DCX Systems Limited,31204908365,2.0404518,42.75,280.15,1180662,1.0367,1
SILVERTUC.NS,Silver Touch Technologies Limited,9839187900,-0.272,62.01,775.9,26905,0.8247,0
PDMJEPAPER.NS,Pudumjee Paper Products Limited,8493277500,0.539,8.95,89.45,698635,0.7007,0
CENTEXT.NS,Century Extrusions Limited,1376000000,1.048,19.41,17.2,127702,1.414,1
LATTEYS.NS,Latteys Industries Limited,868186580,0.981,65.65,15.1,13273,-0.4849,1
